200,8.19
300,9.65
400,9.07
500,10.67
600,10.27
700,10.91
800,10.74
900,12.2
1000,11.16
1100,12.22
1200,12.54
1300,13.26
1400,12.99
1500,11.88
1600,13.47
1700,12.46
1800,13.65
1900,13.69
2000,12.18
2100,13.66
2200,14.64
2300,12.22
2400,14.23
2500,13.91
2600,14.52
2700,13.21
2800,13.66
2900,13.89
3000,13.7
3100,13.72
3200,14.77
3300,15.66
3400,14.67
3500,14.65
3600,14.11
3700,14.22
3800,14.55
3900,13.74
4000,14.65
4100,13.81
4200,15.72
4300,16.64
4400,15.96
4500,14.65
4600,15
4700,14.07
4800,15.76
4900,16.02
5000,14.93
5100,15.87
5200,13.86
5300,13.86
5400,15.83
5500,15.3
5600,15.92
5700,17.08
5800,14.59
5900,15.62
6000,16.55
6100,16.14
6200,16.06
6300,16.45
6400,16.97
6500,14.8
6600,16.56
6700,15.82
6800,16.49
6900,15.58
7000,17.09
7100,16.21
7200,15.46
7300,15.28
7400,16.44
7500,16.43
7600,15.94
7700,15.68
7800,15.34
7900,15.89
8000,16.24
8100,15.87
8200,16.65
8300,16.1
8400,16.18
8500,17.3
8600,16.05
8700,15.92
8800,18.19
8900,15.95
9000,16.35
9100,17.02
9200,17.06
9300,16.21
9400,16.42
9500,17.55
9600,16.33
9700,16.59
9800,16.08
9900,17.64
10000,16.41
10100,16.8
10200,16.11
10300,17.12
10400,16.46
10500,17.1
10600,17.12
10700,16.78
10800,16.6
10900,16.85
11000,17.22
11100,15.97
11200,17.09
11300,16.92
11400,16.88
11500,18.25
11600,17.43
11700,15.75
11800,17.19
11900,18.01
12000,18.03
12100,17.49
12200,17.11
12300,16.52
12400,16.23
12500,17.15
12600,16.59
12700,16.54
12800,16.23
12900,17.75
13000,16.49
13100,16.8
13200,16.51
13300,16.13
13400,17.55
13500,16.6
13600,17.08
13700,17.11
13800,16.2
13900,16.76
14000,17.23
14100,17.28
14200,16.28
14300,17.31
14400,18.25
14500,18.72
14600,16.7
14700,17.15
14800,18.17
14900,17.52
15000,17.7
15100,16.94
